price;rating;rating_DEC-100;rating_GP;rating_GR;rating_JR;rating_JS;rating_LM;rating_RP;rating_TA;rating_VIN;rating_Vivino;rating_W&S;rating_WE;rating_WS;region_1;region_2;region_3;title;volume
573;7.0;;;;;;;;;;;;;;Крым;;;"""Меганом"" Красное";0.75
691;;;;;;;;;;;3.7;;;;Испания;Вальдепеньяс;;"""Casa Bataneros"" Verdejo Sauvignon Blanc, Valdepenas DO";0.75
534;7.0;;;;;;;;;;3.3;;;;Чили;Центральная Долина;;"Concha y Toro, ""Frontera"" Carmenere";0.75
555;9.0;;;;;;;;;;3.8;;;;Португалия;Винью Верде;;"""Pavao"" Escolha, Vinho Verde DOC, 2018";0.75
861;8.6;;;;;;;;;;3.8;;;;Грузия;Кахетия;;Askaneli Brothers, Manavi;0.75
1601;;;;;;90;;86;;;4;;91;89;Новая Зеландия;Мальборо;;"Giesen, ""Estate"" Sauvignon Blanc, 2017";0.75
990;;;;;;;;;;;4.3;;;;Франция;Долина Луары;Розе д'Анжу;"Marcel Martin, ""La Jaglerie"" Rose d'Anjou AOP, 2018";0.75
2041;;;;;;;;;;;3.8;;;87;США;Калифорния;;Murphy-Goode, Pinot Noir, 2016;0.75
1271;7.0;;;;;;;;;;5;;;88;Италия;Пьемонт;Ланге;"Fontanafredda, ""Briccotondo"" Dolcetto, Langhe DOC, 2016";0.75
1129;8.2;;;;;;;;;;3.7;;;;США;Калифорния;;"""Tussock Jumper"" Zinfandel";0.75
522;8.3;;;;;;;;;;3.1;;;;Германия;Рейнхессен;;"Peter Mertes, ""Schloss Sommerau"" White Sweet Alcoholfree";0.75
581;;;;;;;;;;;3.6;;;;Крым;;;"""Кагор Солнечной Долины""";0.75
1296;6.2;;;;;;;;;;3.6;;;;Россия;Краснодарский край;;"Сикоры, Каберне Совиньон ""Премиум"", 2014";0.75
1215;8.2;;;;;;;;;;4.2;;;;Италия;Апулия;Пулья;"Duca di Saragnano, ""Alchymia"" Primitivo, Puglia IGT";0.75
640;8.0;;;;;;;;;;3.8;;;;ЮАР;Западный Кейп;;"""Deep Creek"" Chenin Blanc";0.75
1290;;;;;;;;;;;3.8;;;;ЮАР;Паарл;;"Fairview, ""La Capra"" Pinotage, 2017";0.75
1140;5.0;;;;;;;;;;4;;;;Италия;Фриули-Венеция-Джулия;Фриули Грав;"""Priara"" Pinot Grigio, DOC Friuli Grave, 2018";0.75
520;10.0;;;;;;;;;;3.5;;;;Италия;Венето;Венеция;Terre Allegre Trebbiano Veneto IGT Semi Sweet;0.75
692;9.4;;;;;;;;;;3.7;;;;Испания;Валенсия;;"""Tussock Jumper"" Moscato";0.75
